city,admin_name,capital,population
"Abu al Matamir, Egypt",Al Buḩayrah,,44415.0
"Abu, India",Rājasthān,,22943.0
"Abucay, Philippines",Bataan,,42984.0
"Abuja, Nigeria",Federal Capital Territory,primary,3770000.0
"Abulug, Philippines",Cagayan,,34579.0
"Abuna, Brazil",Rondônia,,1929.0
"Aburi, Ghana",Eastern,,18701.0
"Abuyog, Philippines",Leyte,,61216.0
"Abuzar-e Ghaffari, Iran",Khūzestān,,9272.0
"Abyek, Iran",Qazvīn,minor,60107.0
"Ac-cahrij, Morocco",Marrakech-Safi,,16313.0
"Acacias, Colombia",Meta,minor,75252.0
"Acahay, Paraguay",Paraguarí,,16264.0
"Acailandia, Brazil",Maranhão,minor,106550.0
"Acajutiba, Brazil",Bahia,minor,13795.0
"Acajutla, El Salvador",Sonsonate,,29701.0
"Acala del Rio, Spain",Andalusia,,12250.0
"Acala, Mexico",Chiapas,minor,15001.0
"Acambaro, Mexico",Guanajuato,minor,56597.0
"Acambay, Mexico",México,minor,56847.0
"Acanceh, Mexico",Yucatán,minor,10968.0
"Acandi, Colombia",Chocó,minor,12095.0
"Acapetahua, Mexico",Chiapas,minor,26899.0
"Acapulco de Juarez, Mexico",Guerrero,minor,673478.0
"Acara, Brazil",Pará,minor,52126.0
"Acarape, Brazil",Ceará,minor,16288.0
"Acarau, Brazil",Ceará,minor,48968.0
"Acari, Brazil",Rio Grande do Norte,minor,10597.0
"Acarigua, Venezuela",Portuguesa,minor,203358.0
"Acarlar, Turkey",Aydın,,12297.0
"Acasusso, Argentina",Buenos Aires,,12842.0
"Acate, Italy",Sicilia,,10576.0
"Acatenango, Guatemala",Chimaltenango,minor,28780.0
"Acatic, Mexico",Jalisco,minor,21530.0
"Acatlan de Osorio, Mexico",Puebla,,33954.0
"Acatlan de Perez Figueroa, Mexico",Oaxaca,,42347.0
"Acatlan, Mexico",Jalisco,minor,25250.0
"Acatzingo, Mexico",Puebla,minor,52078.0
"Acaxochitlan, Mexico",Hidalgo,minor,46065.0
"Acayucan, Mexico",Veracruz,minor,83817.0
"Accokeek, United States",Maryland,,13226.0
"Accra, Ghana",Greater Accra,primary,491817.0
"Accrington, United Kingdom",Lancashire,,35456.0
"Acerra, Italy",Campania,,58322.0
"Acevedo, Colombia",Huila,minor,39877.0
"Achacachi, Bolivia",La Paz,,8857.0
"Achaguas, Venezuela",Apure,minor,38523.0
"Achaljamu, India",Jhārkhand,,16826.0
"Achampet, India",Andhra Pradesh,,20721.0
"Achankovil, India",Kerala,,11133.0
"Acharipallam, India",Tamil Nādu,,16836.0
"Acharnes, Greece",Attikí,minor,108169.0
"Achchampeta, India",Andhra Pradesh,,8604.0
"Achchippatti, India",Tamil Nādu,,9849.0
"Acheres, France",Île-de-France,,21663.0
"Achern, Germany",Baden-Württemberg,,26664.0
"Achhnera, India",Uttar Pradesh,,22781.0
"Achi, Colombia",Bolívar,minor,23051.0
"Achim, Germany",Lower Saxony,,32961.0
