city,admin_name,capital,population
"Kulat, Indonesia",Bali,,30012.0
"Kulattuppalaiyam, India",Tamil Nādu,,23018.0
"Kulattur, India",Tamil Nādu,,12276.0
"Kuldiga, Latvia",Kuldīga,admin,9940.0
"Kulebaki, Russia",Nizhegorodskaya Oblast’,minor,32184.0
"Kuleshovka, Russia",Rostovskaya Oblast’,,14568.0
"Kulgam, India",Jammu and Kashmīr,,23584.0
"Kulgo, India",Jhārkhand,,10839.0
"Kulharia, India",Bihār,,13449.0
"Kulhudhuffushi, Maldives",Thiladhunmathee Dhekunuburi,admin,10251.0
"Kuli, India",West Bengal,,28092.0
"Kulittalai, India",Tamil Nādu,,34532.0
"Kuljibrin, Syria",Ḩalab,,15000.0
"Kulkent, Tajikistan",Sughd,,22731.0
"Kullorsuaq, Greenland",Avannaata,,453.0
"Kulmbach, Germany",Bavaria,minor,26052.0
"Kulob, Tajikistan",Khatlon,minor,214700.0
"Kulp, Turkey",Diyarbakır,minor,34357.0
"Kulpahar, India",Uttar Pradesh,,20096.0
"Kulpsville, United States",Pennsylvania,,8990.0
"Kulrian, India",Punjab,,10544.0
"Kulu, India",Himāchal Pradesh,,18536.0
"Kulu, Turkey",Konya,minor,51612.0
"Kulunda, Russia",Altayskiy Kray,,15102.0
"Kulundu, Kyrgyzstan",Batken,minor,10170.0
"Kulusuk, Greenland",Sermersooq,,241.0
"Kumagaya, Japan",Saitama,,193190.0
"Kumage, Japan",Yamaguchi,,16666.0
"Kumalarang, Philippines",Zamboanga del Sur,,29479.0
"Kumamoto, Japan",Kumamoto,admin,738385.0
"Kumano, Japan",Hiroshima,,22760.0
"Kumanovo, North Macedonia",Kumanovo,admin,70842.0
"Kumar Khad, India",Bihār,,23806.0
"Kumaralingam, India",Tamil Nādu,,15535.0
"Kumaramangalam, India",Tamil Nādu,,14824.0
"Kumaramputtur, India",Kerala,,15346.0
"Kumaranallur, India",Kerala,,16004.0
"Kumarankari, India",Kerala,,51960.0
"Kumarapalaiyam, India",Tamil Nādu,,86945.0
"Kumarapuram, India",Tamil Nādu,,18398.0
"Kumaravadi, India",Tamil Nādu,,10735.0
"Kumari, India",Bihār,,11425.0
"Kumaripur, India",Bihār,,14815.0
"Kumarkhali, India",West Bengal,,12021.0
"Kumasi, Ghana",Ashanti,admin,3903480.0
"Kumatori, Japan",Ōsaka,,43570.0
"Kumba, Cameroon",South-West,,31672.0
"Kumbadaje, India",Kerala,,11161.0
"Kumbakonam, India",Tamil Nādu,,140156.0
"Kumbhari, India",Odisha,,10636.0
"Kumbhraj, India",Madhya Pradesh,,18552.0
"Kumbo, Cameroon",North-West,,80212.0
"Kumcati, Turkey",Şırnak,,9874.0
"Kumertau, Russia",Bashkortostan,minor,57949.0
"Kumharsan, India",Bihār,,11130.0
"Kumi, Korea, South",Gyeongbuk,,404691.0
"Kumi, Uganda",Kumi,admin,13000.0
"Kumil, India",Kerala,,19978.0
"Kumila, Pakistan",Khyber Pakhtunkhwa,,784711.0
"Kumirimora, India",West Bengal,,12208.0
"Kumiyama, Japan",Kyōto,,15200.0
"Kumla, Sweden",Örebro,minor,21640.0
"Kumlu, Turkey",Hatay,minor,13333.0
"Kumluca, Turkey",Antalya,minor,73496.0
"Kummarapurugupalem, India",Andhra Pradesh,,11206.0
"Kummersbruck, Germany",Bavaria,,9861.0
"Kumo, Nigeria",Gombe,minor,35712.0
"Kumru, Turkey",Ordu,minor,28436.0
"Kumta, India",Karnātaka,,45538.0
"Kumul, China",Xinjiang,minor,492096.0
"Kun Puhal, India",Himāchal Pradesh,,23229.0
"Kuna, United States",Idaho,,25960.0
"Kundal, India",Bihār,,16668.0
"Kundgol, India",Karnātaka,,22228.0
"Kundian, Pakistan",Punjab,,35406.0
"Kundiawa, Papua New Guinea",Chimbu,admin,11553.0
"Kundli, India",Haryāna,,100000.0
"Kundurpi, India",Andhra Pradesh,,11516.0
"Kunduz, Afghanistan",Kunduz,admin,268893.0
"Kungalv, Sweden",Västra Götaland,minor,22768.0
"Kungsangen, Sweden",Stockholm,minor,9382.0
"Kungsbacka, Sweden",Halland,minor,23000.0
"Kungur, Russia",Permskiy Kray,minor,62173.0
"Kunigal, India",Karnātaka,,40052.0
"Kunimedu, India",Tamil Nādu,,8779.0
"Kuningan, Indonesia",Jawa Barat,minor,113860.0
"Kunisakimachi-tsurugawa, Japan",Ōita,,25790.0
"Kunitachi, Japan",Tōkyō,,75133.0
"Kunithala, India",Kerala,,15789.0
"Kunitomi, Japan",Miyazaki,,18460.0
"Kuniyamuttur, India",Tamil Nādu,,77748.0
"Kunjatturu, India",Kerala,,13633.0
"Kunkalagunta, India",Andhra Pradesh,,11637.0
"Kunming, China",Yunnan,admin,4422686.0
"Kunnada, India",Kerala,,23655.0
"Kunnamangalam, India",Kerala,,53223.0
"Kunnamkulam, India",Kerala,,54071.0
"Kunnatnad, India",Kerala,,31400.0
"Kunnattur, India",Tamil Nādu,,9282.0
"Kunnumel, India",Kerala,,14918.0
"Kunnur, India",Tamil Nādu,,9910.0
"Kunoy, Faroe Islands",Kunoy,admin,
"Kunp'o, Korea, South",Gyeonggi,,270443.0
"Kunsan, Korea, South",Jeonbuk,,275155.0
"Kununurra, Australia",Western Australia,,4515.0
"Kunzell, Germany",Hesse,,17025.0
"Kunzelsau, Germany",Baden-Württemberg,minor,16436.0
"Kuopio, Finland",Pohjois-Savo,admin,124131.0
"Kupang, Indonesia",Nusa Tenggara Timur,admin,466632.0
"Kupiansk, Ukraine",Kharkivska Oblast,minor,26627.0
"Kupino, Russia",Novosibirskaya Oblast’,,13708.0
"Kupiskis, Lithuania",Kupiškis,admin,6178.0
"Kuppachchipalaiyam, India",Tamil Nādu,,10787.0
"Kuppadi, India",Kerala,,26662.0
"Kuppam, India",Andhra Pradesh,,21963.0
"Kuppenheim, Germany",Baden-Württemberg,,8534.0
"Kuqa, China",Xinjiang,minor,462588.0
"Kurabalakota, India",Andhra Pradesh,,11583.0
"Kurabur, India",Karnātaka,,65456.0
"Kurashiki, Japan",Okayama,,474862.0
"Kurate, Japan",Fukuoka,,14901.0
"Kurawar, India",Madhya Pradesh,,15487.0
"Kuraymah, Sudan",Northern,,13981.0
"Kurayoshi, Japan",Tottori,,46269.0
"Kurchatov, Russia",Kurskaya Oblast’,minor,39167.0
"Kurdamir, Azerbaijan",Kürdəmir,admin,15385.0
"Kurdi, India",Karnātaka,,10694.0
"Kure, Japan",Hiroshima,,212159.0
"Kuressaare, Estonia",Saaremaa,admin,12698.0
"Kurgan, Russia",Kurganskaya Oblast’,admin,310911.0
"Kurganinsk, Russia",Krasnodarskiy Kray,minor,46393.0
"Kurgunta, India",Karnātaka,,11337.0
"Kurhani, India",Bihār,,10589.0
"Kurichchi, India",Tamil Nādu,,14980.0
"Kurichedu, India",Andhra Pradesh,,9027.0
"Kurihara, Japan",Miyagi,,63689.0
"Kurikka, Finland",Etelä-Pohjanmaa,minor,19759.0
"Kurikuppi, India",Karnātaka,,10817.0
"Kurim, Czechia",Jihomoravský Kraj,,11400.0
"Kurivikod, India",Tamil Nādu,,31506.0
"Kuriyama, Japan",Hokkaidō,,11474.0
"Kurman, Ukraine","Krym, Avtonomna Respublika",minor,11134.0
"Kurmuk, Sudan",Blue Nile,,250000.0
"Kurnool, India",Andhra Pradesh,,457633.0
"Kurobeshin, Japan",Toyama,,39718.0
"Kuroishi, Japan",Aomori,,31604.0
"Kurort Steinbach-Hallenberg, Germany",Thuringia,,9273.0
"Kuroshio, Japan",Kōchi,,10073.0
"Kurovskoye, Russia",Moskovskaya Oblast’,,19890.0
"Kurri Kurri, Australia",New South Wales,,20015.0
"Kursaha, India",Bihār,,8680.0
"Kursenai, Lithuania",Šiauliai,,10651.0
"Kurshab, Kyrgyzstan",Osh,,20471.0
"Kursk, Russia",Kurskaya Oblast’,admin,436678.0
"Kursumlija, Serbia",Kuršumlija,admin,15905.0
"Kurtalan, Turkey",Siirt,minor,36273.0
"Kurtamysh, Russia",Kurganskaya Oblast’,minor,1075.0
"Kurten, Germany",North Rhine-Westphalia,,20158.0
"Kurtkoti, India",Karnātaka,,13552.0
"Kurugodu, India",Karnātaka,,17379.0
"Kuruman, South Africa",Northern Cape,,13057.0
"Kurumbalur, India",Tamil Nādu,,14686.0
"Kurumbapalaiyam, India",Tamil Nādu,,18749.0
"Kurume, Japan",Fukuoka,,302858.0
"Kurumul, Papua New Guinea",Jiwaka,admin,
"Kurunegala, Sri Lanka",North Western,admin,30315.0
"Kuruvambalam, India",Kerala,,10756.0
"Kuruvattur, India",Kerala,,28285.0
"Kuruvinattam, India",Tamil Nādu,,36983.0
"Kurwa Mathia, India",Bihār,,12793.0
"Kurwar, India",Uttar Pradesh,,10826.0
"Kusa, Russia",Chelyabinskaya Oblast’,minor,13300.0
"Kusadasi, Turkey",İzmir,minor,130835.0
"Kusaha, India",Bihār,,14530.0
"Kusapin, Panama",Ngäbe-Buglé,minor,33121.0
"Kusatsu, Japan",Shiga,,139913.0
"Kuse, Japan",Okayama,,11424.0
"Kushijima, Japan",Kumamoto,,9624.0
"Kushima, Japan",Miyazaki,,16744.0
"Kushimoto, Japan",Wakayama,,14661.0
"Kushiro, Japan",Hokkaidō,,165699.0
"Kushk, Afghanistan",Herāt,,17479.0
"Kushk, Iran",Eşfahān,,11264.0
"Kushmanchi, India",Andhra Pradesh,,11563.0
"Kushnarenkovo, Russia",Bashkortostan,minor,9870.0
"Kushtagi, India",Karnātaka,,27961.0
"Kushtia, Bangladesh",Khulna,,418312.0
"Kushva, Russia",Sverdlovskaya Oblast’,minor,26891.0
"Kusmaul, India",Bihār,,8953.0
"Kusnacht, Switzerland",Zürich,,14387.0
"Kusong, Korea, North",P’yŏngbuk,,196515.0
"Kussnacht, Switzerland",Schwyz,minor,13084.0
"Kusterdingen, Germany",Baden-Württemberg,,9038.0
"Kusti, Sudan",White Nile,,345068.0
"Kusugal, India",Karnātaka,,9825.0
"Kusumbe, India",Mahārāshtra,,8774.0
"Kusumha, India",Bihār,,9725.0
"Kut Chap, Thailand",Udon Thani,minor,10259.0
"Kut-e `Abdollah, Iran",Khūzestān,minor,56252.0
"Kutahya, Turkey",Kütahya,admin,263863.0
"Kutaisi, Georgia",Imereti,admin,147900.0
"Kutavettur, India",Kerala,,15021.0
"Kutavur, India",Kerala,,14151.0
"Kutchan, Japan",Hokkaidō,,15123.0
"Kutina, Croatia",Sisačko-Moslavačka Županija,minor,19601.0
"Kutiyana, India",Gujarāt,,17108.0
"Kutna Hora, Czechia",Středočeský Kraj,,21556.0
"Kutno, Poland",Łódzkie,minor,42255.0
"Kuttalam, India",Tamil Nādu,,17746.0
"Kuttampala, India",Kerala,,20369.0
"Kuttampuzha, India",Kerala,,24799.0
"Kuttanallur, India",Tamil Nādu,,30353.0
"Kuttappatti, India",Tamil Nādu,,10920.0
"Kuttattuppatti, India",Tamil Nādu,,10748.0
"Kuttikkattur, India",Kerala,,21154.0
"Kuttiyeri, India",Kerala,,12473.0
"Kuttuparamba, India",Kerala,,28907.0
"Kuttur, India",Kerala,,12179.0
"Kuttyadi, India",Kerala,,19351.0
"Kuttyattur, India",Kerala,,13244.0
"Kutum, Sudan",North Darfur,,45000.0
"Kuurne, Belgium",Flanders,,13318.0
"Kuusamo, Finland",Pohjois-Pohjanmaa,minor,15019.0
"Kuusankoski, Finland",Kymenlaakso,,19831.0
"Kuvandyk, Russia",Orenburgskaya Oblast’,minor,11200.0
"Kuvango, Angola",Huíla,,78543.0
"Kuvshinovo, Russia",Tverskaya Oblast’,minor,9262.0
"Kuwait City, Kuwait",Al ‘Āşimah,primary,2989000.0
"Kuwana, Japan",Mie,,138798.0
"Kuyganyor, Uzbekistan",Andijon,minor,12200.0
"Kuysinjaq, Iraq",Arbīl,minor,19878.0
"Kuytun, China",Xinjiang,minor,166261.0
"Kuyucak, Turkey",Aydın,minor,26111.0
"Kuzhippilli, India",Kerala,,12120.0
"Kuzhittura, India",Tamil Nādu,,27063.0
"Kuzma, Slovenia",Kuzma,admin,429.0
"Kuznetsk, Russia",Penzenskaya Oblast’,,78390.0
"Kuzuculu, Turkey",Hatay,,11171.0
"Kvivik, Faroe Islands",Kvívík,admin,
"KwaDukuza, South Africa",KwaZulu-Natal,,101224.0
"Kwaggafontein, South Africa",Mpumalanga,,45104.0
"Kwai Chung, Hong Kong",,,38674.0
"Kwale, Kenya",Kwale,admin,10063.0
"Kwamhlanga, South Africa",Gauteng,,69853.0
"Kwekwe, Zimbabwe",Midlands,,119863.0
"Kwidzyn, Poland",Pomorskie,minor,37768.0
"Kwiha, Ethiopia",Tigray,,12543.0
"Kwinana, Australia",Western Australia,,20086.0
"Ky Anh, Vietnam",Hà Tĩnh,minor,120518.0
"Kyabe, Chad",Moyen-Chari,,15960.0
"Kyakhta, Russia",Buryatiya,,1500.0
"Kyaliwajjala, Uganda",Wakiso,,50000.0
"Kyaukme, Burma",Shan State,,39930.0
"Kyaukmyaung, Burma",Sagaing,,15000.0
"Kyaukpyu, Burma",Rakhine State,,180000.0
"Kyaukse, Burma",Mandalay,,741071.0
"Kyaunggon, Burma",Ayeyarwady,,15485.0
"Kyazanga, Uganda",Lwengo,,15531.0
"Kyegegwa, Uganda",Kyegegwa,admin,29400.0
"Kyeintali, Burma",Rakhine State,,23581.0
"Kyenjojo, Uganda",Kyenjojo,admin,23467.0
"Kyiv, Ukraine","Kyiv, Misto",primary,2952301.0
"Kyjov, Czechia",Jihomoravský Kraj,,10799.0
"Kyle, United States",Texas,,52439.0
"Kyongju, Korea, South",Gyeongbuk,,248244.0
"Kyonpyaw, Burma",Ayeyarwady,,25488.0
"Kyotamba, Japan",Kyōto,,12714.0
"Kyotanabe, Japan",Kyōto,,73985.0
"Kyotango, Japan",Kyōto,,50857.0
"Kyotera, Uganda",Rakai,,12789.0
"Kyoto, Japan",Kyōto,admin,1463723.0
"Kyrenia, Cyprus",Kerýneia,admin,33207.0
"Kyritz, Germany",Brandenburg,,9114.0
"Kyshtym, Russia",Chelyabinskaya Oblast’,minor,35325.0
"Kysucke Nove Mesto, Slovakia",Žilina,minor,14660.0
"Kyustendil, Bulgaria",Kyustendil,admin,43534.0
"Kyzyl, Russia",Tyva,admin,116015.0
"Kyzyl-Adyr, Kyrgyzstan",Talas,minor,13612.0
"Kyzyl-Kyshtak, Kyrgyzstan",Osh,,11971.0
"Kyzyl-Kyya, Kyrgyzstan",Batken,,51300.0
"Kyzyl-Suu, Kyrgyzstan",Ysyk-Köl,minor,15464.0
"L'Ancienne-Lorette, Canada",Quebec,,16970.0
"L'Aquila, Italy",Abruzzo,admin,69558.0
"L'Arbaa Nait Irathen, Algeria",Tizi Ouzou,,29376.0
"L'Asile, Haiti",Nippes,,40000.0
"L'Assomption, Canada",Quebec,,23442.0
"L'Epiphanie, Canada",Quebec,,8883.0
"L'Hay-les-Roses, France",Île-de-France,minor,31338.0
"L'Ile-Perrot, Canada",Quebec,,11638.0
"L'Ile-Saint-Denis, France",Île-de-France,,8682.0
"L'Isle-Adam, France",Île-de-France,,12302.0
"L'Isle-Jourdain, France",Occitanie,,9499.0
"L'Isle-d'Abeau, France",Auvergne-Rhône-Alpes,,17096.0
"L'Isle-sur-la-Sorgue, France",Provence-Alpes-Côte d’Azur,,20315.0
"L'Oulja, Morocco",Fès-Meknès,,13679.0
"L'Union, France",Occitanie,,12410.0
"La Algaba, Spain",Andalusia,,16666.0
"La Apartada, Colombia",Córdoba,minor,15204.0
"La Argentina, Colombia",Huila,minor,12475.0
"La Asuncion, Venezuela",Nueva Esparta,admin,28513.0
"La Banda, Argentina",Santiago del Estero,minor,106441.0
"La Baneza, Spain",Castille-Leon,,10023.0
"La Barca, Mexico",Jalisco,minor,67937.0
"La Belleza, Colombia",Santander,minor,8596.0
"La Blanca, Guatemala",San Marcos,minor,34307.0
"La Bruyere, Belgium",Wallonia,,9226.0
"La Calamine, Belgium",Wallonia,,11061.0
"La Calera, Argentina",Córdoba,,45600.0
"La Calera, Chile",Valparaíso,,50554.0
"La Calera, Colombia",Cundinamarca,minor,28908.0
"La Caleta, Dominican Republic",Ozama,,46698.0
"La Canada Flintridge, United States",California,,20094.0
"La Carlota, Argentina",Córdoba,minor,12537.0
"La Carlota, Philippines",Negros Occidental,,66664.0
"La Carlota, Spain",Andalusia,,14381.0
"La Carolina, Spain",Andalusia,,14681.0
"La Ceiba, Honduras",Atlántida,admin,197267.0
"La Ceiba, Venezuela",Trujillo,,26301.0
"La Ceja, Colombia",Antioquia,minor,64889.0
"La Celia, Colombia",Risaralda,minor,9660.0
"La Celle-Saint-Cloud, France",Île-de-France,,20440.0
"La Chapelle d'Armentieres, France",Hauts-de-France,,8782.0
"La Chapelle-Saint-Luc, France",Grand Est,,12603.0
"La Chapelle-Saint-Mesmin, France",Centre-Val de Loire,,10492.0
"La Chapelle-sur-Erdre, France",Pays de la Loire,,20483.0
"La Chaux-de-Fonds, Switzerland",Neuchâtel,minor,38965.0
"La Chorrera, Panama",Panamá Oeste,admin,68896.0
"La Cienaga, Dominican Republic",Enriquillo,,9112.0
"La Ciotat, France",Provence-Alpes-Côte d’Azur,,37599.0
"La Colonia Tovar, Venezuela",Aragua,minor,21000.0
"La Concepcion, Nicaragua",Masaya,minor,31950.0
"La Concordia, Ecuador",Santo Domingo de los Tsáchilas,,35474.0
"La Corredoria, Spain",Asturias,,19191.0
"La Courneuve, France",Île-de-France,,47086.0
"La Crau, France",Provence-Alpes-Côte d’Azur,,19416.0
"La Crescenta-Montrose, United States",California,,19940.0
"La Cresta, United States",California,,8558.0
"La Crosse, United States",Wisconsin,,93163.0
"La Crucecita, Mexico",Oaxaca,,13044.0
"La Cruz de Rio Grande, Nicaragua",Costa Caribe Sur,minor,23284.0
"La Cruz, Argentina",Corrientes,minor,8591.0
"La Cruz, Chile",Valparaíso,,22098.0
"La Cruz, Colombia",Nariño,minor,16674.0
"La Cruz, Costa Rica",Guanacaste,,9195.0
"La Cruz, Mexico",Sinaloa,minor,15657.0
"La Cumbre, Colombia",Valle del Cauca,minor,11512.0
"La Democracia, Guatemala",Huehuetenango,minor,61486.0
"La Dorada, Colombia",Caldas,minor,72925.0
"La Eliana, Spain",Valencia,,19597.0
"La Entrada, Honduras",Copán,,13949.0
"La Escala, Spain",Catalonia,,9901.0
"La Esmeralda, Venezuela",Amazonas,minor,20030.0
"La Esperanza, Colombia",Norte de Santander,minor,11040.0
"La Esperanza, Guatemala",Quetzaltenango,minor,24948.0
"La Esperanza, Honduras",Intibucá,admin,11631.0
"La Estrella, Colombia",Antioquia,minor,71545.0
"La Falda, Argentina",Córdoba,,16335.0
"La Fare-les-Oliviers, France",Provence-Alpes-Côte d’Azur,,8953.0
"La Farlede, France",Provence-Alpes-Côte d’Azur,,9745.0
"La Ferte-Bernard, France",Pays de la Loire,,8769.0
"La Ferte-sous-Jouarre, France",Île-de-France,,10004.0
"La Fleche, France",Pays de la Loire,minor,15081.0
"La Florida, Chile",Región Metropolitana,,366916.0
"La Florida, Colombia",Nariño,minor,9047.0
"La Garde, France",Provence-Alpes-Côte d’Azur,,26316.0
"La Garenne-Colombes, France",Île-de-France,,29828.0
"La Garriga, Spain",Catalonia,,17305.0
"La Gi, Vietnam",Bình Thuận,,108519.0
"La Gloria, Colombia",Cesar,minor,14989.0
"La Gomera, Guatemala",Escuintla,minor,53211.0
"La Goulette, Tunisia",Tunis,,45711.0
"La Grande Racine, Switzerland",Neuchâtel,,8790.0
"La Grande, United States",Oregon,,13059.0
"La Grande-Motte, France",Occitanie,,8508.0
"La Grange Park, United States",Illinois,,13227.0
"La Grange, United States",New York,,16228.0
"La Granja, Chile",Región Metropolitana,,116571.0
"La Grita, Venezuela",Táchira,minor,90000.0
"La Guaira, Venezuela",La Guaira,admin,203520.0
"La Habra, United States",California,,62233.0
"La Higuerita, Mexico",Jalisco,,23258.0
"La Homa, United States",Texas,,11389.0
"La Huacana, Mexico",Michoacán,minor,34243.0
"La Huerta, Mexico",Jalisco,minor,23258.0
"La Huerta, Philippines",Parañaque,,8592.0
"La Independencia, Mexico",Chiapas,minor,46409.0
"La Jagua de Ibirico, Colombia",Cesar,minor,46722.0
"La Jigua, Honduras",Copán,,9288.0
"La Junta, Mexico",Chihuahua,,8930.0
"La Laguna, Spain",Canary Islands,,160258.0
"La Leonesa, Argentina",Chaco,minor,10067.0
"La Libertad, Ecuador",Guayas,,112154.0
"La Libertad, El Salvador",La Libertad,,35997.0
"La Libertad, Guatemala",Petén,minor,86171.0
"La Libertad, Nicaragua",Chontales,minor,11429.0
"La Libertad, Philippines",Negros Oriental,,41089.0
"La Ligua, Chile",Valparaíso,minor,19127.0
"La Lima, Honduras",Cortés,,71910.0
"La Linea de la Concepcion, Spain",Andalusia,,64177.0
"La Lisa, Cuba",La Habana,,147415.0
"La Llagosta, Spain",Catalonia,,13085.0
"La Loggia, Italy",Piedmont,,8785.0
"La Londe-les-Maures, France",Provence-Alpes-Côte d’Azur,,11010.0
"La Louviere, Belgium",Wallonia,,80986.0
"La Lucila, Argentina",Buenos Aires,,15844.0
"La Macarena, Colombia",Meta,minor,36781.0
"La Maddalena, Italy",Sardegna,,10592.0
"La Madeleine, France",Hauts-de-France,,22161.0
"La Magdalena Chichicaspa, Mexico",México,,12193.0
"La Magdalena Tlaltelulco, Mexico",Tlaxcala,minor,15046.0
"La Mana, Ecuador",Cotopaxi,minor,31740.0
"La Maquina, Guatemala",Suchitepéquez,minor,26062.0
"La Marque, United States",Texas,,18833.0
"La Marsa, Tunisia",Tunis,,100000.0
"La Massana, Andorra",La Massana,admin,11591.0
"La Mata, Dominican Republic",Cibao Sur,,38962.0
"La Matanza de Acentejo, Spain",Canary Islands,,9160.0
"La Mesa, Colombia",Cundinamarca,minor,33241.0
"La Mesa, United States",California,,60835.0
"La Mirada, United States",California,,46945.0
"La Mision, Mexico",Hidalgo,,10096.0
"La Montanita, Colombia",Caquetá,minor,15725.0
"La Mornaghia, Tunisia",Manouba,,23100.0
"La Motte-Servolex, France",Auvergne-Rhône-Alpes,,12167.0
"La Mujer, Spain",Andalusia,,8677.0
"La Nucia, Spain",Valencia,,18783.0
"La Oliva, Spain",Canary Islands,,29693.0
"La Orotava, Spain",Canary Islands,,42585.0
"La Palma del Condado, Spain",Andalusia,,10709.0
"La Palma, Colombia",Cundinamarca,minor,11012.0
"La Palma, Cuba",Pinar del Río,minor,35346.0
"La Palma, El Salvador",Chalatenango,,24000.0
"La Palma, Panama",Darién,admin,4205.0
"La Palma, United States",California,,15375.0
"La Paloma, Uruguay",Rocha,,3495.0
"La Paz Centro, Nicaragua",León,minor,28118.0
"La Paz, Argentina",Entre Ríos,minor,74762.0
"La Paz, Bolivia",La Paz,primary,321073.0
"La Paz, Honduras",La Paz,admin,43980.0
"La Paz, Mexico",Baja California Sur,admin,250141.0
"La Paz, Philippines",Tarlac,,68952.0
"La Paz, Uruguay",Canelones,,20524.0
"La Peche, Canada",Quebec,,8636.0
"La Pena, Mexico",México,,304088.0
"La Piedad, Mexico",Michoacán,minor,83323.0
"La Pintana, Chile",Región Metropolitana,,177335.0
"La Plata, Argentina",Buenos Aires,admin,904789.0
"La Plata, Colombia",Huila,minor,67220.0
"La Plata, United States",Maryland,,10470.0
"La Pointe, Haiti",Nord-Ouest,,9930.0
"La Porte, United States",Texas,,36077.0
"La Prairie, Canada",Quebec,,26406.0
"La Presa, United States",California,,36669.0
"La Primavera, Colombia",Vichada,minor,17626.0
"La Puebla de Cazalla, Spain",Andalusia,,10799.0
"La Puebla del Rio, Spain",Andalusia,,11871.0
"La Puente, United States",California,,37404.0
"La Queue-en-Brie, France",Île-de-France,,12074.0
"La Quiaca, Argentina",Jujuy,minor,16874.0
"La Quinta, United States",California,,38299.0
"La Ravoire, France",Auvergne-Rhône-Alpes,,9154.0
"La Reforma, Guatemala",San Marcos,minor,23717.0
"La Reina, Chile",Región Metropolitana,,92787.0
"La Reina, El Salvador",Chalatenango,,9525.0
"La Reja, Argentina",Buenos Aires,,47839.0
"La Resolana, Mexico",Jalisco,minor,20548.0
"La Riche, France",Centre-Val de Loire,,10349.0
"La Rinconada, Peru",Puno,,29678.0
"La Rinconada, Spain",Andalusia,,40529.0
"La Rioja, Argentina",La Rioja,admin,180995.0
"La Riviera, United States",California,,11503.0
"La Roche-sur-Foron, France",Auvergne-Rhône-Alpes,,11239.0
"La Roche-sur-Yon, France",Pays de la Loire,minor,54699.0
"La Rochelle, France",Nouvelle-Aquitaine,minor,79961.0
"La Roda, Spain",Castille-La Mancha,,15610.0
"La Romana, Dominican Republic",Yuma,admin,139238.0
"La Serena, Chile",Coquimbo,admin,195382.0
"La Seyne-sur-Mer, France",Provence-Alpes-Côte d’Azur,,62905.0
"La Sierpe, Cuba",Sancti Spíritus,minor,16573.0
"La Sierra, Colombia",Cauca,minor,9935.0
"La Solana, Spain",Castille-La Mancha,,15225.0
"La Source, Haiti",Sud,,29180.0
"La Spezia, Italy",Liguria,minor,92119.0
"La Tebaida, Colombia",Quindío,minor,46323.0
"La Teste-de-Buch, France",Nouvelle-Aquitaine,,27141.0
"La Tour-de-Peilz, Switzerland",Vaud,,11829.0
"La Trinidad, Mexico",Chiapas,,83111.0
"La Trinidad, Nicaragua",Managua,,22645.0
"La Trinidad, Philippines",Benguet,admin,137404.0
"La Trinitaria, Mexico",Chiapas,minor,11055.0
"La Trinite, France",Provence-Alpes-Côte d’Azur,,10485.0
"La Troncal, Ecuador",Cañar,minor,39600.0
"La Tuque, Canada",Quebec,,11001.0
"La Union, Chile",Los Ríos,minor,26517.0
"La Union, Colombia",Valle del Cauca,minor,40339.0
"La Union, El Salvador",La Unión,admin,37460.0
"La Union, Guatemala",Zacapa,minor,38473.0
"La Union, Peru",Piura,,19155.0
"La Union, Spain",Murcia,,21153.0
"La Uruca, Costa Rica",San José,,31728.0
"La Valette-du-Var, France",Provence-Alpes-Côte d’Azur,,23660.0
"La Vallee de Jacmel, Haiti",Sud-Est,,36188.0
"La Vega, Colombia",Cauca,minor,47417.0
"La Vega, Dominican Republic",Cibao Sur,admin,220279.0
"La Vergne, United States",Tennessee,,38944.0
"La Verne, United States",California,,30804.0
"La Victoria de Acentejo, Spain",Canary Islands,,9313.0
"La Victoria, Colombia",Valle del Cauca,minor,13247.0
"La Victoria, Venezuela",Aragua,minor,143468.0
"La Virgen, Costa Rica",Heredia,,10521.0
"La Virginia, Colombia",Risaralda,minor,32330.0
"La Vista, United States",Nebraska,,16594.0
"La'tamna, Morocco",Marrakech-Safi,,9318.0
"LaGrange, United States",Georgia,,31479.0
"LaSalle, Canada",Ontario,,32721.0
"LaSalle, United States",Illinois,,9471.0
"Laakirchen, Austria",Oberösterreich,,9861.0
"Laamarna, Morocco",Marrakech-Safi,,11904.0
"Laanoussar, Morocco",Fès-Meknès,,9343.0
"Laaouama, Morocco",Tanger-Tétouan-Al Hoceïma,,19187.0
"Laarne, Belgium",Flanders,,12487.0
"Laascaanood, Somalia",Sool,admin,
"Laatatra, Morocco",Casablanca-Settat,,18928.0
"Laatzen, Germany",Lower Saxony,,42560.0
"Laayoune, Morocco",Laâyoune-Sakia El Hamra,,217732.0
"Labangan, Philippines",Zamboanga del Sur,,44262.0
"Labasa, Fiji",Macuata,,27949.0
"Labason, Philippines",Zamboanga del Norte,,43934.0
"Labbaikkudikkadu, India",Tamil Nādu,,11538.0
"Labe, Guinea",Labé,admin,107695.0
"Labhgaon, India",Bihār,,10165.0
"Labin, Croatia",Istarska Županija,minor,10424.0
"Labinsk, Russia",Krasnodarskiy Kray,minor,28831.0
"Labiod Medjadja, Algeria",Chlef,,14733.0
"Labo, Philippines",Camarines Norte,,109245.0
"Laboulaye, Argentina",Córdoba,minor,20534.0
